Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8996006855879,FRUIT TEA BLACKUREN 230 ML,Pcs,3,IDR,7.500.00,
8996006857255,FRUIT TEA FREEZE 500ML,Pcs,2,IDR,12.000.00,
8996006857705,STEE TEH BOTOL 350ML,Pcs,1,IDR,2.500.00,
8996006858085,FRUITEA APEL 350ML,Pcs,3,IDR,13.500.00,
8996006858115,FRUITEA FREZZE350ML,Pcs,1,IDR,4.500.00,
8996006858160,FRUITEA BLACKCURRENT 350ML,Pcs,1,IDR,4.500.00,
8996006858214,FRUIT TEA LEMON 500ML,Pcs,2,IDR,12.000.00,
8997009510017,YOU C C1000 LEMON 140ML,Pcs,4,IDR,24.000.00,
8997009510055,YOU C C1000 ORANGE 140ML,Pcs,3,IDR,18.000.00,
8997009780243,LOVE GUAVA 300 ML,Pcs,1,IDR,6.000.00,
8997011921405,MILKO RS COKELAT 200ML,Pcs,3,IDR,15.000.00,
8997011921412,MILKO RS KACANG HIJAU 200ML,Pcs,2,IDR,10.000.00,
8997035563414,POCARI SWEAT 500 ML,Pcs,3,IDR,21.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8997035563544,POCARI SWEAT 350 ML,Pcs,1,IDR,6.000.00,
8997035601017,POCARI SWEAT IONESSENCE 250ML,Pcs,1,IDR,7.000.00,
,Total MINUMAN BOTOL :,,,IDR,1.468.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
35666,TEH TARIKH 250ML,Pcs,7,IDR,49.000.00,
8992726848030,INACO KRIUK LECI 200GR,Pcs,2,IDR,6.000.00,
,Total MINUMAN GELAS :,,,IDR,55.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992696404441,NESTLE BEAR BRAND195G,Pcs,3,IDR,25.500.00,
8995227500247,LARUTAN KAKI 3 JAMBU BJ 320,Pcs,1,IDR,6.000.00,
8995227500278,LARUTAN KAKI 3 LECI 320 ML,Pcs,1,IDR,6.000.00,
8995227500582,PANDA CINCAU 310ML,Pcs,1,IDR,5.000.00,
9556001025272,NESCAFE RTD LATTE 240ML,Pcs,2,IDR,16.000.00,
9556001047175,NESCAFE ORGINAL 240ML,Pcs,1,IDR,8.000.00,
,Total MINUMAN KALENG :,,,IDR,66.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
749921006868,HILO TEEN CHOCOLATE 200ML,Pcs,2,IDR,15.000.00,
749921030085,HILO TIRAMISU CAKE 200 ML,Pcs,1,IDR,7.500.00,
749921050014,L-MEN RASA CHOCOLATE 200ML,Pcs,1,IDR,8.000.00,
7499221133155,YOGHURT HEAVENLY BLACKCURRENT,Pcs,2,IDR,18.000.00,
,200ML,,,,,
8991234535494,SUNKIST JERUK 200ML,Pcs,1,IDR,5.000.00,
8992753033720,BENDERA SWISS CHOCOLATE 225ML,Pcs,8,IDR,40.000.00,
8992753033737,BENDERA STRAWBERY 225ML,Pcs,6,IDR,30.000.00,
8992775717127,CLEVO STRAWBERY SPLASH 125ML,Pcs,1,IDR,3.000.00,
8993200661336,CIMORY AL VARIAN,Pcs,3,IDR,25.500.00,
8993200663828,CIMORY UHT ALL VAR 200ML,Pcs,1,IDR,6.000.00,
8996006142511,TEH BOTOL KOTAK 250 ML,Pcs,2,IDR,7.000.00,
8996006855886,FRUIT TEA APPLE 230 ML,Pcs,1,IDR,2.500.00,
8996006856876,STEE 330 ML JASMINE TEA,Pcs,5,IDR,12.500.00,
8998009010231,ULTRA COKLAT 250 ML,Pcs,25,IDR,137.500.00,
8998009010255,ULTRA MOCCA 250ML,Pcs,10,IDR,55.000.00,
8998009010262,ULTRA LOWFAT  PUTIH 250 ML,Pcs,7,IDR,42.000.00,
8998009010569,ULTRA MILK COKLAT 200ML,Pcs,21,IDR,94.500.00,
8998009010583,ULTRA MOCCA 200ML,Pcs,14,IDR,63.000.00,
8998009010682,ULTRA LOWFAT PUTIH 200ML,Pcs,7,IDR,35.000.00,
8998009011214,ULTRA LOW FAT COKLAT 250ML,Pcs,6,IDR,36.000.00,
8998009020179,BUAVITA ORANGE 250ML,Pcs,3,IDR,19.500.00,
8998009020186,BUAVITA GUAVA 250ML,Pcs,1,IDR,6.500.00,
8998009020193,BUAVITA MANGO 250ML,Pcs,1,IDR,6.500.00,
8998009020216,BUAVITA LECI 250ML,Pcs,1,IDR,6.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8998009020223,BUAVITA APPLE 250ML,Pcs,1,IDR,6.500.00,
8998009030031,ULTRA SARI ASEM 250ML,Pcs,2,IDR,10.000.00,
8998009040023,ULTRA TEH KOTAK 200 ML,Pcs,12,IDR,42.000.00,
8998009040139,ULTRA TEH KOTAK 500ML,Pcs,1,IDR,6.000.00,
