Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8996001600269,LE-MINERALE 600ML,Pcs,75.00,IDR,225.000.00
8996001600306,KOPIKO MOCHARETA 240ML,Pcs,1.00,IDR,6.000.00
8996001600313,KOPIKO 78 CARAMEL FRSPPE,Pcs,2.00,IDR,12.000.00
8996001600375,LE-MINERALE 330ML,Pcs,11.00,IDR,22.000.00
8996001600399,LE-MINERALE 1500ML,Pcs,5.00,IDR,22.500.00
8996006320117,TEH BOTOL KOTAK 200 ML,Pcs,4.00,IDR,12.000.00
8996006852045,SOSRO PRIM-A 600 ML,Pcs,68.00,IDR,170.000.00
8996006853400,FRUIT TEA PET BLCK CUR500,Pcs,3.00,IDR,18.000.00
8996006856715,SOSRO TEBS 500ML,Pcs,2.00,IDR,14.000.00
8996006857255,FRUIT TEA FREEZE 500ML,Pcs,2.00,IDR,12.000.00
8996006858016,SOSRO TEH BOTOL 350ML,Pcs,1.00,IDR,4.500.00
8996006858085,FRUITEA APEL 350ML,Pcs,2.00,IDR,9.000.00
8996006858115,FRUITEA FREZZE350ML,Pcs,2.00,IDR,9.000.00
8996006858214,FRUIT TEA LEMON 500ML,Pcs,5.00,IDR,30.000.00
8996006858276,FRUITEA MARKISA 350ML,Pcs,3.00,IDR,13.500.00
8996006858306,FRUITEA YUZU 350ML,Pcs,1.00,IDR,4.500.00
8997009510017,YOU C C1000 LEMON 140ML,Pcs,7.00,IDR,42.000.00
8997009510055,YOU C C1000 ORANGE 140ML,Pcs,9.00,IDR,54.000.00
8997009510116,YOU C C1000 LEMON WATER 500ML,Pcs,2.00,IDR,15.000.00
8997009510123,YOU C C1000 ORG WTR 500ML,Pcs,1.00,IDR,7.500.00
8997009780243,LOVE GUAVA 300 ML,Pcs,1.00,IDR,6.000.00
8997011870031,SUPER O2 DAYLIO 330 ML,Pcs,1.00,IDR,4.000.00
8997011921405,MILKO RS COKELAT 200ML,Pcs,3.00,IDR,15.000.00
8997011921412,MILKO RS KACANG HIJAU 200ML,Pcs,1.00,IDR,5.000.00
8997035563414,POCARI SWEAT 500 ML,Pcs,5.00,IDR,35.000.00
8997035601017,POCARI SWEAT IONESSENCE 250ML,Pcs,3.00,IDR,21.000.00
8997214260059,JOOZE IT GUAVA 250ML,Pcs,2.00,IDR,22.000.00
8999510603004,ZODA 250ML,Pcs,2.00,IDR,9.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B20041,KANGEN WATER 600ML,Pcs,2.00,IDR,10.000.00
"",Total MINUMAN BOTOL :,,,IDR,2.153.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
35666,TEH TARIKH 250ML,Pcs,10.00,IDR,70.000.00
8992726848047,INACO KRIUK GUAVA 200GR,Pcs,1.00,IDR,3.000.00
8992726964785,INACO SELASIH STRWBRY 200GR,Pcs,1.00,IDR,5.000.00
8992726964792,INACO NATA DE COCO SELASIH,Pcs,1.00,IDR,4.500.00
"",ORG200GR,,,,
8993539102401,RON 88 DUS 240mlx24,Pcs,1.00,IDR,20.000.00
B20053,AMIDIS CUP 240ML,Pcs,2.00,IDR,45.000.00
"",Total MINUMAN GELAS :,,,IDR,147.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
5789,M150 ENERGY DRINK 150ML,Pcs,1.00,IDR,4.000.00
8992696404441,NESTLE BEAR BRAND195G,Pcs,4.00,IDR,34.000.00
8995227500247,LARUTAN KAKI 3 JAMBU BJ 320,Pcs,1.00,IDR,6.000.00
8995227500254,LARUTAN CAP KAKI TIGA STRWBRY 320ML,Pcs,1.00,IDR,6.000.00
8995227500278,LARUTAN KAKI 3 LECI 320 ML,Pcs,2.00,IDR,12.000.00
9556001025272,NESCAFE RTD LATTE 240ML,Pcs,4.00,IDR,32.000.00
9556001047175,NESCAFE ORGINAL 240ML,Pcs,2.00,IDR,16.000.00
9556001054005,NESCAFE MOCHA 240ML,Pcs,3.00,IDR,24.000.00
"",Total MINUMAN KALENG :,,,IDR,134.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
749921006738,NUTRISARI FRUIT EN VEG 200ML,Pcs,1.00,IDR,7.500.00
749921030016,HILO SCHOOL VEGIBERI 200ml,Pcs,1.00,IDR,7.000.00
749921040046,WRP ON THE GO COKLAT 200ML,Pcs,1.00,IDR,11.500.00
7499221123132,YOGHURT HEAVENLY BLUSH STRWBRY,Pcs,1.00,IDR,9.000.00
"",200ML,,,,
7499221163183,YOGHURT HEAVENLY BLUSH PLAIN 250ML,Pcs,1.00,IDR,9.000.00
8992696419742,NESCAFE COFFEE CREAM 200 ML,Pcs,9.00,IDR,40.500.00
8992696422650,NESCAFE FRENCH VANILLA 200ML,Pcs,5.00,IDR,22.500.00
8992696430266,MILO UHT 200 ML,Pcs,6.00,IDR,27.000.00
8992753018796,BENDERA BELGIAN CHOCO 225ML,Pcs,5.00,IDR,30.000.00
8992753033737,BENDERA STRAWBERY 225ML,Pcs,7.00,IDR,35.000.00
8992753033744,BENDERA FULLCREAM 225ML,Pcs,5.00,IDR,25.000.00
8993200661336,CIMORY AL VARIAN,Pcs,4.00,IDR,34.000.00
8993200663828,CIMORY UHT ALL VAR 200ML,Pcs,2.00,IDR,12.000.00
8996006120014,FRUIT TEA APPLE 200 ML,Pcs,2.00,IDR,6.000.00
8996006142511,TEH BOTOL KOTAK 250 ML,Pcs,2.00,IDR,7.000.00
8996006841018,FRUIT TEA BLACK CURR 200,Pcs,3.00,IDR,9.000.00
